ส่วนงาน,ฝ่าย,เลขคำร้อง,เรื่องร้องทุกข์,ประเภทคำร้อง,เขต,ชุมชน,วันที่รับเรื่อง,วันที่เสร็จ,สถานะ,รูปภาพ,ความสำคัญ,รูปภาพหลังแก้ไข,ปิดงานโดย,LINE Token
ส่วนงานจำลอง 01,ฝ่ายจำลอง 01,MOCK-0001,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0001,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 01,ชุมชนจำลอง 01,01/01/2569,04/01/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 04,MOCK-0002,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0002,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 02,ชุมชนจำลอง 06,02/01/2569,12/01/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 07,MOCK-0003,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0003,ประเภทจำลอง 03 - ถนน,เขตจำลอง 03,ชุมชนจำลอง 11,03/01/2569,20/01/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 02,MOCK-0004,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0004,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 04,ชุมชนจำลอง 04,04/01/2569,28/01/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 05,MOCK-0005,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0005,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 05,ชุมชนจำลอง 09,05/01/2569,05/02/2569,ประเมินผลเสร็จสิ้น,mock-complaint-01.svg,กลาง,mock-after-01.svg,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 08,MOCK-0006,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0006,ประเภทจำลอง 06 - ความสะอาด,เขตจำลอง 06,ชุมชนจำลอง 02,06/01/2569,13/02/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 03,MOCK-0007,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0007,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 01,ชุมชนจำลอง 07,07/01/2569,21/02/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 06,MOCK-0008,รายการจำลองข้อมูลทั่วไป ลำดับ 0008,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 02,ชุมชนจำลอง 12,08/01/2569,01/03/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 01,MOCK-0009,รายการจำลองข้อมูลทั่วไป ลำดับ 0009,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 03,ชุมชนจำลอง 05,09/01/2569,16/01/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 04,MOCK-0010,รายการจำลองข้อมูลทั่วไป ลำดับ 0010,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 04,ชุมชนจำลอง 10,10/01/2569,24/01/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 01,
