,ส่วนงาน,ฝ่าย,เลขคำร้อง,เรื่องร้องทุกข์,ประเภทคำร้อง,เขต,ชุมชน,วันที่รับเรื่อง,วันที่เสร็จ,สถานะ,predicted_priority,predicted_priority_code,prediction_confidence,prediction_source
0,ส่วนการโยธา,ฝ่ายสาธารณูปโภค,1/63,ไฟฟ้า,เปลี่ยนหลอดไฟ,เขต 1,ดอนหญ้านาง 3,14/02/2563,22/02/2563,ประเมินผลเสร็จสิ้น,MEDIUM,2,1.0,rule
1,ส่วนการโยธา,ฝ่ายสาธารณูปโภค,2/63,ไฟฟ้า,ซ่อมแซมไฟฟ้าชำรุด,เขต 2,ศรีจันทร์ประชาฯ,14/02/2563,22/02/2563,ประเมินผลเสร็จสิ้น,MEDIUM,2,1.0,rule
2,ส่วนการโยธา,ฝ่ายสาธารณูปโภค,3/63,งานอื่น ๆ,ตัดกิ่งไม้,เขต 2,ศรีจันทร์,14/02/2563,27/02/2563,ประเมินผลเสร็จสิ้น,LOW,1,1.0,rule
3,ส่วนการโยธา,ฝ่ายสาธารณูปโภค,4/63,งานอื่น ๆ,ตัดกิ่งไม้,เขต 2,ธนาคร,14/02/2563,27/02/2563,ประเมินผลเสร็จสิ้น,LOW,1,1.0,rule
4,ส่วนการโยธา,ฝ่ายสาธารณูปโภค,7/63,ไฟฟ้า,เปลี่ยนหลอดไฟ,เขต 3,โนนทัน 9,14/02/2563,24/02/2563,ประเมินผลเสร็จสิ้น,MEDIUM,2,1.0,rule
5,ส่วนช่างสุขาภิบาล,ฝ่ายจัดการคุณภาพน้ำ,8/63,ท่อระบายน้ำ,ฝาท่อระบายน้ำ,เขต 3,หลังสนามกีฬา 1,14/02/2563,17/06/2563,ประเมินผลเสร็จสิ้น,HIGH,3,1.0,rule
6,ส่วนช่างสุขาภิบาล,ฝ่ายจัดการคุณภาพน้ำ,9/63,ท่อระบายน้ำ,ดูด/ลอก ท่อระบายน้ำ,เขต 2,คุ้มหนองคู,14/02/2563,25/02/2563,ประเมินผลเสร็จสิ้น,HIGH,3,1.0,rule
7,ส่วนช่างสุขาภิบาล,ฝ่ายจัดการคุณภาพน้ำ,10/63,ท่อระบายน้ำ,ฝาท่อระบายน้ำ,เขต 3,เหล่านาดี 12,14/02/2563,18/06/2563,ประเมินผลเสร็จสิ้น,HIGH,3,1.0,rule
8,ส่วนการโยธา,ฝ่ายสาธารณูปโภค,11/63,ไฟฟ้า,ซ่อมแซมไฟฟ้าชำรุด,เขต 3,แก่นนคร,17/02/2563,24/02/2563,ประเมินผลเสร็จสิ้น,MEDIUM,2,1.0,rule
9,ส่วนการโยธา,ฝ่ายสาธารณูปโภค,12/63,ไฟฟ้า,เปลี่ยนหลอดไฟ,เขต 3,แก่นนคร,17/02/2563,24/02/2563,ประเมินผลเสร็จสิ้น,MEDIUM,2,1.0,rule
